,Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10
0,236.307203,253.829263,286.404308,235.302314,242.72783,213.444771,250.037338,235.921398,257.007237,203.388576,249.280198,233.859967,295.826734,333.150346,316.224503
1,253.829263,286.404308,235.302314,242.72783,213.444771,250.037338,235.921398,257.007237,203.388576,249.280198,233.859967,295.826734,333.150346,316.224503,306.677525
2,286.404308,235.302314,242.72783,213.444771,250.037338,235.921398,257.007237,203.388576,249.280198,233.859967,295.826734,333.150346,316.224503,306.677525,285.945635
3,235.302314,242.72783,213.444771,250.037338,235.921398,257.007237,203.388576,249.280198,233.859967,295.826734,333.150346,316.224503,306.677525,285.945635,314.774199
4,242.72783,213.444771,250.037338,235.921398,257.007237,203.388576,249.280198,233.859967,295.826734,333.150346,316.224503,306.677525,285.945635,314.774199,310.579342
5,213.444771,250.037338,235.921398,257.007237,203.388576,249.280198,233.859967,295.826734,333.150346,316.224503,306.677525,285.945635,314.774199,310.579342,320.916699
6,250.037338,235.921398,257.007237,203.388576,249.280198,233.859967,295.826734,333.150346,316.224503,306.677525,285.945635,314.774199,310.579342,320.916699,341.618083
7,235.921398,257.007237,203.388576,249.280198,233.859967,295.826734,333.150346,316.224503,306.677525,285.945635,314.774199,310.579342,320.916699,341.618083,352.384774
8,257.007237,203.388576,249.280198,233.859967,295.826734,333.150346,316.224503,306.677525,285.945635,314.774199,310.579342,320.916699,341.618083,352.384774,357.63177
9,203.388576,249.280198,233.859967,295.826734,333.150346,316.224503,306.677525,285.945635,314.774199,310.579342,320.916699,341.618083,352.384774,357.63177,319.792724
10,249.280198,233.859967,295.826734,333.150346,316.224503,306.677525,285.945635,314.774199,310.579342,320.916699,341.618083,352.384774,357.63177,319.792724,337.279139
11,233.859967,295.826734,333.150346,316.224503,306.677525,285.945635,314.774199,310.579342,320.916699,341.618083,352.384774,357.63177,319.792724,337.279139,413.343784
12,295.826734,333.150346,316.224503,306.677525,285.945635,314.774199,310.579342,320.916699,341.618083,352.384774,357.63177,319.792724,337.279139,413.343784,437.87206
13,333.150346,316.224503,306.677525,285.945635,314.774199,310.579342,320.916699,341.618083,352.384774,357.63177,319.792724,337.279139,413.343784,437.87206,446.739282
14,316.224503,306.677525,285.945635,314.774199,310.579342,320.916699,341.618083,352.384774,357.63177,319.792724,337.279139,413.343784,437.87206,446.739282,462.356272
15,306.677525,285.945635,314.774199,310.579342,320.916699,341.618083,352.384774,357.63177,319.792724,337.279139,413.343784,437.87206,446.739282,462.356272,428.007736
16,285.945635,314.774199,310.579342,320.916699,341.618083,352.384774,357.63177,319.792724,337.279139,413.343784,437.87206,446.739282,462.356272,428.007736,449.924464
17,314.774199,310.579342,320.916699,341.618083,352.384774,357.63177,319.792724,337.279139,413.343784,437.87206,446.739282,462.356272,428.007736,449.924464,456.003828
18,310.579342,320.916699,341.618083,352.384774,357.63177,319.792724,337.279139,413.343784,437.87206,446.739282,462.356272,428.007736,449.924464,456.003828,409.818111
19,320.916699,341.618083,352.384774,357.63177,319.792724,337.279139,413.343784,437.87206,446.739282,462.356272,428.007736,449.924464,456.003828,409.818111,414.003705
20,341.618083,352.384774,357.63177,319.792724,337.279139,413.343784,437.87206,446.739282,462.356272,428.007736,449.924464,456.003828,409.818111,414.003705,386.419708
21,352.384774,357.63177,319.792724,337.279139,413.343784,437.87206,446.739282,462.356272,428.007736,449.924464,456.003828,409.818111,414.003705,386.419708,387.952679
22,357.63177,319.792724,337.279139,413.343784,437.87206,446.739282,462.356272,428.007736,449.924464,456.003828,409.818111,414.003705,386.419708,387.952679,320.835292
23,319.792724,337.279139,413.343784,437.87206,446.739282,462.356272,428.007736,449.924464,456.003828,409.818111,414.003705,386.419708,387.952679,320.835292,323.224476
24,337.279139,413.343784,437.87206,446.739282,462.356272,428.007736,449.924464,456.003828,409.818111,414.003705,386.419708,387.952679,320.835292,323.224476,300.943421
25,413.343784,437.87206,446.739282,462.356272,428.007736,449.924464,456.003828,409.818111,414.003705,386.419708,387.952679,320.835292,323.224476,300.943421,308.977398
26,437.87206,446.739282,462.356272,428.007736,449.924464,456.003828,409.818111,414.003705,386.419708,387.952679,320.835292,323.224476,300.943421,308.977398,337.287039
27,446.739282,462.356272,428.007736,449.924464,456.003828,409.818111,414.003705,386.419708,387.952679,320.835292,323.224476,300.943421,308.977398,337.287039,392.779146
28,462.356272,428.007736,449.924464,456.003828,409.818111,414.003705,386.419708,387.952679,320.835292,323.224476,300.943421,308.977398,337.287039,392.779146,403.507647
29,428.007736,449.924464,456.003828,409.818111,414.003705,386.419708,387.952679,320.835292,323.224476,300.943421,308.977398,337.287039,392.779146,403.507647,354.104456
30,449.924464,456.003828,409.818111,414.003705,386.419708,387.952679,320.835292,323.224476,300.943421,308.977398,337.287039,392.779146,403.507647,354.104456,344.071611
31,456.003828,409.818111,414.003705,386.419708,387.952679,320.835292,323.224476,300.943421,308.977398,337.287039,392.779146,403.507647,354.104456,344.071611,323.857566
32,409.818111,414.003705,386.419708,387.952679,320.835292,323.224476,300.943421,308.977398,337.287039,392.779146,403.507647,354.104456,344.071611,323.857566,331.810228
33,414.003705,386.419708,387.952679,320.835292,323.224476,300.943421,308.977398,337.287039,392.779146,403.507647,354.104456,344.071611,323.857566,331.810228,422.803376
34,386.419708,387.952679,320.835292,323.224476,300.943421,308.977398,337.287039,392.779146,403.507647,354.104456,344.071611,323.857566,331.810228,422.803376,465.366525
