,Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10
0,22.740929,20.0169,20.802438,20.347934,19.565531,20.729571,20.630886,20.708247,20.865213,23.282169,23.64154,25.383304,25.574972,27.725137,27.202309
1,20.0169,20.802438,20.347934,19.565531,20.729571,20.630886,20.708247,20.865213,23.282169,23.64154,25.383304,25.574972,27.725137,27.202309,28.963157
2,20.802438,20.347934,19.565531,20.729571,20.630886,20.708247,20.865213,23.282169,23.64154,25.383304,25.574972,27.725137,27.202309,28.963157,31.274583
3,20.347934,19.565531,20.729571,20.630886,20.708247,20.865213,23.282169,23.64154,25.383304,25.574972,27.725137,27.202309,28.963157,31.274583,29.276144
4,19.565531,20.729571,20.630886,20.708247,20.865213,23.282169,23.64154,25.383304,25.574972,27.725137,27.202309,28.963157,31.274583,29.276144,30.582408
5,20.729571,20.630886,20.708247,20.865213,23.282169,23.64154,25.383304,25.574972,27.725137,27.202309,28.963157,31.274583,29.276144,30.582408,38.046014
6,20.630886,20.708247,20.865213,23.282169,23.64154,25.383304,25.574972,27.725137,27.202309,28.963157,31.274583,29.276144,30.582408,38.046014,40.09066
7,20.708247,20.865213,23.282169,23.64154,25.383304,25.574972,27.725137,27.202309,28.963157,31.274583,29.276144,30.582408,38.046014,40.09066,42.560525
8,20.865213,23.282169,23.64154,25.383304,25.574972,27.725137,27.202309,28.963157,31.274583,29.276144,30.582408,38.046014,40.09066,42.560525,44.959272
9,23.282169,23.64154,25.383304,25.574972,27.725137,27.202309,28.963157,31.274583,29.276144,30.582408,38.046014,40.09066,42.560525,44.959272,47.160039
10,23.64154,25.383304,25.574972,27.725137,27.202309,28.963157,31.274583,29.276144,30.582408,38.046014,40.09066,42.560525,44.959272,47.160039,47.705225
11,25.383304,25.574972,27.725137,27.202309,28.963157,31.274583,29.276144,30.582408,38.046014,40.09066,42.560525,44.959272,47.160039,47.705225,49.598494
12,25.574972,27.725137,27.202309,28.963157,31.274583,29.276144,30.582408,38.046014,40.09066,42.560525,44.959272,47.160039,47.705225,49.598494,52.188223
13,27.725137,27.202309,28.963157,31.274583,29.276144,30.582408,38.046014,40.09066,42.560525,44.959272,47.160039,47.705225,49.598494,52.188223,53.131378
14,27.202309,28.963157,31.274583,29.276144,30.582408,38.046014,40.09066,42.560525,44.959272,47.160039,47.705225,49.598494,52.188223,53.131378,54.648305
15,28.963157,31.274583,29.276144,30.582408,38.046014,40.09066,42.560525,44.959272,47.160039,47.705225,49.598494,52.188223,53.131378,54.648305,53.980029
16,31.274583,29.276144,30.582408,38.046014,40.09066,42.560525,44.959272,47.160039,47.705225,49.598494,52.188223,53.131378,54.648305,53.980029,54.944824
17,29.276144,30.582408,38.046014,40.09066,42.560525,44.959272,47.160039,47.705225,49.598494,52.188223,53.131378,54.648305,53.980029,54.944824,55.949122
18,30.582408,38.046014,40.09066,42.560525,44.959272,47.160039,47.705225,49.598494,52.188223,53.131378,54.648305,53.980029,54.944824,55.949122,54.102176
19,38.046014,40.09066,42.560525,44.959272,47.160039,47.705225,49.598494,52.188223,53.131378,54.648305,53.980029,54.944824,55.949122,54.102176,54.325431
20,40.09066,42.560525,44.959272,47.160039,47.705225,49.598494,52.188223,53.131378,54.648305,53.980029,54.944824,55.949122,54.102176,54.325431,56.104555
21,42.560525,44.959272,47.160039,47.705225,49.598494,52.188223,53.131378,54.648305,53.980029,54.944824,55.949122,54.102176,54.325431,56.104555,56.301318
22,44.959272,47.160039,47.705225,49.598494,52.188223,53.131378,54.648305,53.980029,54.944824,55.949122,54.102176,54.325431,56.104555,56.301318,60.254748
23,47.160039,47.705225,49.598494,52.188223,53.131378,54.648305,53.980029,54.944824,55.949122,54.102176,54.325431,56.104555,56.301318,60.254748,59.027729
24,47.705225,49.598494,52.188223,53.131378,54.648305,53.980029,54.944824,55.949122,54.102176,54.325431,56.104555,56.301318,60.254748,59.027729,59.555233
25,49.598494,52.188223,53.131378,54.648305,53.980029,54.944824,55.949122,54.102176,54.325431,56.104555,56.301318,60.254748,59.027729,59.555233,60.372426
26,52.188223,53.131378,54.648305,53.980029,54.944824,55.949122,54.102176,54.325431,56.104555,56.301318,60.254748,59.027729,59.555233,60.372426,61.607362
27,53.131378,54.648305,53.980029,54.944824,55.949122,54.102176,54.325431,56.104555,56.301318,60.254748,59.027729,59.555233,60.372426,61.607362,58.793465
28,54.648305,53.980029,54.944824,55.949122,54.102176,54.325431,56.104555,56.301318,60.254748,59.027729,59.555233,60.372426,61.607362,58.793465,57.080692
29,53.980029,54.944824,55.949122,54.102176,54.325431,56.104555,56.301318,60.254748,59.027729,59.555233,60.372426,61.607362,58.793465,57.080692,60.488184
30,54.944824,55.949122,54.102176,54.325431,56.104555,56.301318,60.254748,59.027729,59.555233,60.372426,61.607362,58.793465,57.080692,60.488184,62.004604
31,55.949122,54.102176,54.325431,56.104555,56.301318,60.254748,59.027729,59.555233,60.372426,61.607362,58.793465,57.080692,60.488184,62.004604,66.131549
32,54.102176,54.325431,56.104555,56.301318,60.254748,59.027729,59.555233,60.372426,61.607362,58.793465,57.080692,60.488184,62.004604,66.131549,63.106611
33,54.325431,56.104555,56.301318,60.254748,59.027729,59.555233,60.372426,61.607362,58.793465,57.080692,60.488184,62.004604,66.131549,63.106611,59.908695
34,56.104555,56.301318,60.254748,59.027729,59.555233,60.372426,61.607362,58.793465,57.080692,60.488184,62.004604,66.131549,63.106611,59.908695,57.974837
35,56.301318,60.254748,59.027729,59.555233,60.372426,61.607362,58.793465,57.080692,60.488184,62.004604,66.131549,63.106611,59.908695,57.974837,57.963082
36,60.254748,59.027729,59.555233,60.372426,61.607362,58.793465,57.080692,60.488184,62.004604,66.131549,63.106611,59.908695,57.974837,57.963082,59.969371
37,59.027729,59.555233,60.372426,61.607362,58.793465,57.080692,60.488184,62.004604,66.131549,63.106611,59.908695,57.974837,57.963082,59.969371,58.542002
38,59.555233,60.372426,61.607362,58.793465,57.080692,60.488184,62.004604,66.131549,63.106611,59.908695,57.974837,57.963082,59.969371,58.542002,58.057156
39,60.372426,61.607362,58.793465,57.080692,60.488184,62.004604,66.131549,63.106611,59.908695,57.974837,57.963082,59.969371,58.542002,58.057156,59.559342
40,61.607362,58.793465,57.080692,60.488184,62.004604,66.131549,63.106611,59.908695,57.974837,57.963082,59.969371,58.542002,58.057156,59.559342,58.996307
